Security Name,Symbol,Shares,Weight(%),52 Wk Change(%)
Tech Mahindra L,TECHM,"1,131,429",0.04,NA
Hang Seng Bank ,11,"1,355,937",0.04,NA
Carrefour SA,CA,"1,182,901",0.04,0.00
CK Asset Holdin,1113,"3,720,438",0.04,NA
Continental AG,CON,"201,744",0.04,NA
Sumitomo Electr,5802,"1,405,180",0.04,NA
Sage Group plc,SGE,"2,125,018",0.04,NA
Nippon Yusen KK,9101,"300,548",0.04,NA
Koninklijke KPN,KPN,"6,185,798",0.04,NA
Subaru Corp,7270,"1,135,544",0.04,NA
Aena SME SA,AENA,"131,672",0.04,NA
Standard Bank G,SBK,"2,392,345",0.04,NA
Alstom SA,ALO,"550,231",0.04,0.00
Ocado Group plc,OCDO,"910,409",0.04,NA
Telkom Indonesi,TLKM,"87,499,324",0.04,NA
Covestro AG,1COV,"337,494",0.04,NA
Metro Inc./CN,MRU,"462,904",0.04,NA
Hana Financial ,86790,"536,493",0.04,NA
Petroleo Brasil,PETR3,"4,094,970",0.04,NA
Bank Hapoalim B,POLI,"2,216,953",0.04,NA
Jardine Matheso,J36,"386,032",0.04,NA
Norsk Hydro ASA,NHY,"2,525,587",0.04,NA
VAT Group AG,VACN,"48,004",0.04,NA
China Resources,291,"2,957,630",0.04,NA
Thales SA,HO,"192,847",0.04,NA
Cochlear Ltd,COH,"120,667",0.04,NA
Shaw Communicat,SJR.B,"795,699",0.04,NA
Shimadzu Corp,7701,"504,814",0.04,NA
QIAGEN NV,QIA,"415,392",0.04,NA
St. James's Pla,STJ,"1,000,956",0.04,0.00
SK Innovation C,96770,"100,782",0.04,NA
Uni-President E,1216,"8,981,487",0.04,NA
Groupe Bruxelle,GBLB,"198,318",0.04,NA
Kuwait Finance ,KFH,"8,212,295",0.04,NA
Intertek Group ,ITRK,"302,975",0.04,NA
Obic Co. Ltd,4684,"124,469",0.04,NA
LUKOIL PJSC,LKOH,"207,989",0.04,NA
Mitsubishi Chem,4188,"2,386,778",0.04,NA
Barrick Gold Co,0R22,"1,025,962",0.04,NA
QBE Insurance G,QBE,"2,763,099",0.04,NA
CSPC Pharmaceut,1093,"15,786,869",0.04,NA
Agricultural Ba,1288,"61,800,835",0.04,NA
Emirates Teleco,ETISALAT,"3,256,994",0.04,NA
Bank Leumi Le-I,LUMI,"2,709,553",0.04,NA
Japan Post Hold,6178,"2,325,045",0.04,NA
Great Wall Moto,2333,"5,921,192",0.04,NA
Grupo Mexico SA,GMEXICOB,"5,930,633",0.04,NA
Malayan Banking,MAYBANK,"11,245,500",0.04,NA
LG Electronics ,66570,"200,307",0.04,NA
West Japan Rail,9021,"434,149",0.04,NA
Yaskawa Electri,6506,"481,759",0.04,NA
Teck Resources ,TECK.B,"865,832",0.04,NA
NTT Data Corp,9613,"1,190,009",0.04,NA
Brambles Ltd,BXB,"2,742,051",0.04,NA
Chailease Holdi,5871,"2,493,839",0.04,NA
MINEBEA MITSUMI,6479,"761,656",0.04,NA
Chocoladefabrik,LISP,"1,981",0.04,NA
South32 Ltd,S32,"8,861,565",0.04,NA
AP Moller - Mae,MAERSK,"8,157",0.04,NA
Chocoladefabrik,LISN,190,0.04,NA
Unibail-Rodamco,URW,"252,656",0.04,NA
MISUMI Group In,9962,"518,944",0.04,NA
China Life Insu,2628,"14,493,183",0.04,NA
SG Holdings Co,9143,"789,925",0.04,NA
Just Eat Takeaw,JET,"290,082",0.04,NA
Sun Pharmaceuti,SUNPHARMA,"2,034,144",0.04,NA
Siam Cement PCL,SCC-F,"1,580,274",0.04,NA
Titan Co. Ltd,TITAN,"778,051",0.04,NA
Danske Bank A/S,DANSKE,"1,215,821",0.04,NA
BOC Hong Kong H,2388,"6,722,030",0.04,NA
Renesas Electro,6723,"1,866,056",0.04,NA
China Resources,1109,"5,191,316",0.04,NA
ENEOS Holdings ,5020,"5,579,124",0.04,NA
UltraTech Cemen,ULTRACEMCO,"214,458",0.04,NA
ENN Energy Hold,2688,"1,422,318",0.04,NA
Sumitomo Mitsui,8309,"685,198",0.04,NA
Galaxy Entertai,27,"4,018,061",0.04,NA
Telia Co. AB,TELIA,"4,771,856",0.04,NA
Yuanta Financia,2885,"21,752,272",0.04,NA
Pandora A/S,PNDORA,"179,994",0.04,NA
WEG SA,WEGE3,"2,765,384",0.04,NA
Bunzl plc,BNZL,"633,417",0.04,NA
Beiersdorf AG,BEI,"186,570",0.04,NA
Puma SE,PUM,"185,556",0.04,NA
Hannover Rueck ,HNR1,"112,399",0.04,NA
Mowi ASA,MOWI,"826,647",0.04,NA
Formosa Chemica,1326,"6,401,306",0.04,NA
Xero Ltd,XRO,"237,513",0.04,NA
ASE Technology ,3711,"5,987,449",0.04,NA
MMC Norilsk Nic,MNOD,"724,348",0.04,NA
Mega Financial ,2886,"20,264,777",0.04,NA
Sinch AB,SINCH,"969,358",0.04,NA
Nitto Denko Cor,6988,"274,287",0.04,NA
IMCD NV,IMCD,"106,940",0.04,NA
Scentre Group,SCG,"9,764,785",0.04,0.00
Evergreen Marin,2603,"4,953,300",0.04,NA
Informa plc,INF,"2,786,074",0.04,0.00
Sberbank of Rus,SBRCY Quick QuoteSBRCY,"1,096,646",0.04,-16.97
Snam SPA,SRG Quick QuoteSRG,"4,174,572",0.04,-33.29
Schindler Holdi,SCHP Quick QuoteSCHP,"77,692",0.04,0.00
Persimmon plc,PSN Quick QuotePSN,"593,558",0.04,-19.13
Telstra Corp. L,TLS Quick QuoteTLS,"7,828,005",0.04,-68.37
Suncorp Group L,SUN Quick QuoteSUN,"2,409,998",0.04,39.53
Terna - Rete El,TRN Quick QuoteTRN,"2,648,557",0.04,-3.23
Telenor ASA,TEL Quick QuoteTEL,"1,194,346",0.04,15.74
Umicore SA,UMI Quick QuoteUMI,"385,574",0.04,NA
Sekisui House L,1928,"1,065,679",0.04,NA
Flutter Enterta,FLTR Quick QuoteFLTR,"115,453",0.04,0.00
Cenovus Energy ,CVE Quick QuoteCVE,"2,356,382",0.04,126.61
Erste Group Ban,EBS Quick QuoteEBS,"534,770",0.04,-56.46
FinecoBank Banc,FBK Quick QuoteFBK,"1,145,802",0.04,16.24
Fisher & Paykel,FPH Quick QuoteFPH,"1,065,839",0.04,-12.54
KB Financial Gr,KB Quick QuoteKB,"415,688",0.04,22.01
Loblaw Cos. Ltd,L Quick QuoteL,"301,868",0.04,22.81
InterContinenta,IHG Quick QuoteIHG,"342,277",0.04,1.21
HeidelbergCemen,HEI Quick QuoteHEI,"279,914",0.04,6.60
Melrose Industr,MRO Quick QuoteMRO,"8,110,860",0.04,109.98
LEG Immobilien ,LEG Quick QuoteLEG,"135,956",0.04,-11.74
MTU Aero Engine,MTX Quick QuoteMTX,"100,524",0.04,5.78
Li Auto Inc,LI Quick QuoteLI,"742,609",0.04,-21.63
Nexi SPA,NEXI Quick QuoteNEXI,"1,096,365",0.04,304.00
Sasol Ltd,SOL Quick QuoteSOL,"1,043,033",0.04,-78.68
Alfa Laval AB,ALFA Quick QuoteALFA,"585,784",0.04,0.00
Banco Bradesco ,BBD Quick QuoteBBD,"5,949,271",0.04,-14.77
Capitec Bank Ho,CPI Quick QuoteCPI,"154,942",0.04,0.00
Agnico Eagle Mi,AEM Quick QuoteAEM,"456,094",0.04,-28.64
ASX Ltd,ASX Quick QuoteASX,"365,030",0.04,-4.40
Siemens Energy ,ENR Quick QuoteENR,"801,861",0.04,-19.06
EQT AB,EQT Quick QuoteEQT,"529,303",0.04,27.07
Dollarama Inc,DOL Quick QuoteDOL,"539,789",0.04,0.00
Realtek Semicon,2379,"896,768",0.03,NA
Red Electrica C,REE Quick QuoteREE,"811,155",0.03,-58.41
Suez SA,SEV Quick QuoteSEV,"700,316",0.03,-71.55
Shinhan Financi,SHG Quick QuoteSHG,"445,446",0.03,6.90
SKF AB,SKF Quick QuoteSKF,"716,188",0.03,0.00
Sanlam Ltd,SLM Quick QuoteSLM,"3,281,620",0.03,22.93
SM Investments ,SM Quick QuoteSM,"907,615",0.03,262.12
Smiths Group pl,SMIN Quick QuoteSMIN,"741,132",0.03,0.00
Wipro Ltd,WIT Quick QuoteWIT,"1,561,009",0.03,19.63
Vivendi SE,VIV Quick QuoteVIV,"1,385,484",0.03,5.59
Severn Trent pl,SVT Quick QuoteSVT,"471,856",0.03,65.77
TELUS Corp,T Quick QuoteT,"833,587",0.03,-8.11
Teva Pharmaceut,TEVA Quick QuoteTEVA,"1,841,165",0.03,-30.13
Daito Trust Con,1878,"120,875",0.03,NA
Kesko Oyj,KESKOB,"507,981",0.03,NA
Huazhu Group Lt,HTHT Quick QuoteHTHT,"399,881",0.03,-23.02
Insurance Austr,IAG Quick QuoteIAG,"4,632,930",0.03,-26.07
Hydro One Ltd,H Quick QuoteH,"591,377",0.03,21.07
Getlink SE,GET Quick QuoteGET,"853,115",0.03,125.00
Gold Fields Ltd,GFI Quick QuoteGFI,"1,635,052",0.03,16.77
Indutrade AB,INDT Quick QuoteINDT,"524,429",0.03,4.24
Investor AB,INVE Quick QuoteINVE,"832,634",0.03,132.45
Randstad NV,RAND Quick QuoteRAND,"206,732",0.03,8.48
BlueScope Steel,BSL Quick QuoteBSL,"945,905",0.03,0.00
Absa Group Ltd,ABG Quick QuoteABG,"1,313,547",0.03,-5.84
APA Group,APA Quick QuoteAPA,"2,210,668",0.03,72.30
Bausch Health C,BHC Quick QuoteBHC,"585,893",0.03,-7.22
Admiral Group p,ADM Quick QuoteADM,"393,089",0.03,28.86
B&M European Va,BME Quick QuoteBME,"1,676,541",0.03,0.00
Chunghwa Teleco,CHT Quick QuoteCHT,"470,420",0.03,8.83
Ageas SA/NV,AGS Quick QuoteAGS,"334,893",0.03,30.10
Euronext NV,ENX Quick QuoteENX,"153,998",0.03,0.00
Longfor Group H,960,"3,473,835",0.03,NA
China Conch Ven,586,"3,093,915",0.03,NA
Hargreaves Lans,HL,"711,208",0.03,NA
Canadian Tire C,CTC.A,"106,007",0.03,NA
Pan Pacific Int,7532,"794,905",0.03,NA
Mediobanca Banc,MB,"1,326,611",0.03,0.00
China Merchants,600036,"2,280,551",0.03,NA
Natura & Co. Ho,NTCO3,"1,785,588",0.03,NA
Medibank Pvt Lt,MPL,"5,180,278",0.03,NA
Yara Internatio,YAR,"308,624",0.03,NA
T&D Holdings In,8795,"995,859",0.03,NA
MTR Corp. Ltd,66,"2,691,672",0.03,NA
Barratt Develop,BDEV,"1,897,955",0.03,NA
Samsung C&T Cor,28260,"155,643",0.03,NA
Ramsay Health C,RHC,"325,902",0.03,NA
Japan Real Esta,8952,"2,419",0.03,NA
Roche Holding A,RO,"41,545",0.03,NA
Dentsu Group In,4324,"400,220",0.03,NA
Samsung Electro,9150,"104,511",0.03,NA
Intermediate Ca,ICP,"522,312",0.03,NA
Nissan Motor Co,7201,"3,608,099",0.03,NA
SABIC Agri-Nutr,2020,"353,299",0.03,NA
Grasim Industri,GRASIM,"716,926",0.03,NA
GEA Group AG,G1A,"308,221",0.03,NA
EXOR NV,EXO,"195,249",0.03,NA
Tecan Group AG,TECN,"23,654",0.03,NA
Ping An Insuran,601318,"1,788,650",0.03,NA
Pearson plc,PSON,"1,397,851",0.03,NA
Inpex Corp,1605,"1,710,998",0.03,NA
MEIJI Holdings ,2269,"251,853",0.03,NA
Tokyu Corp,9005,"921,710",0.03,NA
Saudi British B,1060,"1,661,054",0.03,NA
Nordea Bank Abp,NDA,"1,412,523",0.03,NA
Tenaga Nasional,TENAGA,"7,301,000",0.03,NA
Associated Brit,ABF,"654,162",0.03,NA
OMV AG,OMV,"268,584",0.03,NA
Taylor Wimpey p,TW,"6,759,212",0.03,NA
Naturgy Energy ,NTGY,"559,268",0.03,NA
Swiss Prime Sit,SPSN,"141,451",0.03,NA
Stockland,SGP,"4,512,417",0.03,NA
Sumitomo Chemic,4005,"2,820,230",0.03,NA
Heineken Holdin,HEIO,"193,899",0.03,NA
Nomura Research,4307,"490,438",0.03,NA
Smoore Internat,6969,"3,283,350",0.03,NA
Power Grid Corp,POWERGRID,"5,861,839",0.03,NA
Nippon Paint Ho,4612,"1,477,065",0.03,NA
Wuliangye Yibin,858,"508,608",0.03,NA
Hindalco Indust,HINDALCO,"2,627,702",0.03,NA
NTPC Ltd,NTPC,"8,405,451",0.03,NA
Astra Internati,ASII,"38,150,888",0.03,NA
Lenovo Group Lt,992,"14,062,809",0.03,NA
Knorr-Bremse AG,KBX,"123,628",0.03,NA
Daifuku Co. Ltd,6383,"180,088",0.03,NA
Santos Ltd,STO,"3,314,006",0.03,NA
Notre Dame Inte,GNDI3,"970,340",0.03,NA
China Gas Holdi,384,"5,649,392",0.03,NA
SIG Combibloc G,SIGN,"626,027",0.03,NA
Bid Corp. Ltd,BID,"628,763",0.03,0.00
Dexus,DXS,"2,041,015",0.03,NA
First Financial,2892,"18,927,212",0.03,NA
HMM Co. Ltd,11200,"648,931",0.03,NA
Sino Biopharmac,1177,"18,409,718",0.03,NA
Disco Corp,6146,"51,479",0.03,NA
Great-West Life,GWO,"499,655",0.03,NA
Silergy Corp,6415,"115,000",0.03,NA
Magazine Luiza ,MGLU3,"5,576,992",0.03,NA
Osaka Gas Co. L,9532,"737,991",0.03,NA
Meggitt plc,MGGT,"1,466,055",0.03,NA
Tatneft PJSC,ATAD,"403,718",0.03,NA
Saudi Arabian M,1211,"757,064",0.03,NA
Burberry Group ,BRBY,"748,992",0.03,NA
NCSoft Corp,36570,"31,465",0.03,NA
Samsung Biologi,207940,"24,935",0.03,NA
DCC plc,DCC,"184,523",0.03,NA
CyberAgent Inc,4751,"716,968",0.03,NA
Stora Enso Oyj,STERV,"1,075,425",0.03,NA
SLBBH1142,N/A,NA,0.03,NA
Taiwan Cooperat,5880,"18,090,363",0.03,NA
Whitbread plc,WTB,"376,310",0.03,NA
Nissan Chemical,4021,"249,153",0.03,NA
Suzano SA,SUZB3,"1,358,914",0.03,NA
Airports of Tha,AOT-F,"7,934,551",0.03,NA
Odakyu Electric,9007,"579,100",0.03,NA
Bouygues SA,EN,"401,154",0.03,NA
GN Store Nord A,GN,"243,332",0.03,NA
KION Group AG,KGX,"145,283",0.03,NA
Itau Unibanco H,ITUB4,"3,311,082",0.03,NA
Nihon M&A Cente,2127,"490,092",0.03,NA
Chubu Electric ,9502,"1,303,715",0.03,NA
Nestle India Lt,NESTLEIND,"67,110",0.03,NA
Kingdee Interna,268,"4,841,303",0.03,NA
Hua Nan Financi,2880,"18,151,203",0.03,NA
Wharf Real Esta,1997,"3,099,420",0.03,NA
Eiffage SA,FGR,"141,765",0.03,NA
JFE Holdings In,5411,"961,451",0.03,NA
Power Assets Ho,6,"2,579,904",0.03,NA
Emirates NBD Ba,EMIRATESNBD,"4,716,827",0.03,NA
Powszechna Kasa,PKO,"1,590,979",0.03,0.00
United Microele,2303,"7,777,978",0.03,NA
CIMB Group Hold,CIMB,"13,032,573",0.03,NA
LG Household & ,51900,"16,190",0.03,NA
ITC Ltd,ITC,"5,501,281",0.03,0.00
Ascendas Real E,A17U,"6,265,641",0.03,NA
Nippon Building,8951,"2,757",0.03,NA
Svenska Cellulo,SCA,"1,137,672",0.03,NA
Toray Industrie,3402,"2,837,106",0.03,NA
Sibanye Stillwa,SSW,"5,417,468",0.03,NA
Tele2 AB,TEL2,"917,280",0.03,NA
Haier Smart Hom,6690,"4,220,301",0.03,NA
China Longyuan ,916,"6,366,086",0.03,NA
Avenue Supermar,DMART,"277,996",0.03,NA
Barry Callebaut,BARN,"6,621",0.03,NA
China Pacific I,2601,"5,206,425",0.03,NA
Bajaj Finserv L,BAJAJFINSV,"71,254",0.03,NA
HDFC Life Insur,HDFCLIFE,"1,730,162",0.03,NA
Taiwan Cement C,1101,"9,821,102",0.03,NA
Swatch Group AG,UHR,"56,828",0.03,NA
Tata Motors Ltd,TATAMOTORS,"3,355,740",0.03,NA
Adecco Group AG,ADEN,"287,228",0.03,NA
Asustek Compute,2357,"1,338,026",0.03,NA
United Utilitie,UU,"1,290,088",0.03,NA
Atlantia SPA,ATL,"925,739",0.03,NA
Yamaha Motor Co,7272,"560,384",0.03,NA
Engie SA,ENGI,"1,107,165",0.03,NA
Impala Platinum,IMP,"1,515,200",0.03,NA
Rosneft Oil Co,ROSN,"1,744,072",0.03,NA
Toyota Tsusho C,8015,"416,587",0.03,NA
Xinyi Solar Hol,968,"7,920,220",0.03,NA
CP ALL PCL,CPALL-F,"9,884,875",0.03,NA
KT&G Corp,33780,"200,570",0.03,NA
Solvay SA,SOLB,"132,010",0.03,NA
Mitsui OSK Line,9104,"205,365",0.03,NA
Novatek Microel,3034,"1,079,916",0.03,NA
Tabcorp Holding,TAH,"3,906,502",0.03,NA
Daiwa Securitie,8601,"2,832,502",0.03,NA
China Overseas ,688,"7,235,129",0.03,NA
Yamato Holdings,9064,"623,976",0.03,NA
Adani Ports & S,ADANIPORTS,"1,429,389",0.03,NA
Mondi plc,MNDI,"702,424",0.03,NA
Fairfax Financi,FFH,"45,515",0.03,NA
CapitaLand Inte,C38U,"9,020,380",0.03,NA
Prysmian SPA,PRY,"496,664",0.03,NA
JSW Steel Ltd,JSWSTEEL,"1,873,742",0.03,NA
Ono Pharmaceuti,4528,"801,082",0.03,NA
Bank Mandiri Pe,BMRI,"34,875,872",0.03,NA
Mirvac Group,MGR,"7,436,968",0.03,NA
Kingfisher plc,KGF,"3,919,106",0.03,NA
Rohm Co. Ltd,6963,"154,793",0.03,NA
PetroChina Co. ,857,"38,938,969",0.03,NA
M&G plc,MNG,"4,891,453",0.03,NA
DS Smith plc,SMDS,"2,395,916",0.03,NA
Boliden AB,BOL,"510,114",0.03,NA
Shinhan Financi,55550,"494,592",0.03,NA
Lixil Corp,5938,"488,776",0.03,NA
Largan Precisio,3008,"191,848",0.03,NA
Taiyo Yuden Co,6976,"232,650",0.03,NA
Volkswagen AG,VOW,"57,542",0.03,NA
Abrdn plc,ABDN,"4,035,312",0.03,NA
Mahindra & Mahi,M&M,"1,714,951",0.03,NA
Bureau Veritas ,BVI,"535,922",0.03,NA
Skanska AB,SKA,"673,444",0.03,NA
Rakuten Group I,4755,"1,518,038",0.03,NA
Hamamatsu Photo,6965,"240,612",0.03,NA
Getinge AB,GETI,"419,394",0.03,NA
Resona Holdings,8308,"4,080,151",0.03,NA
Country Garden ,2007,"14,174,793",0.03,NA
KB Financial Gr,105560,"293,738",0.03,NA
Yageo Corp,2327,"864,000",0.03,NA
Mitsubishi Heav,7011,"534,725",0.03,NA
Elisa Oyj,ELISA,"267,416",0.03,NA
Sydney Airport,SYD,"2,478,688",0.03,NA
Temenos AG,TEMN,"118,179",0.03,NA
AGC Inc,5201,"346,691",0.03,NA
Tokyo Gas Co. L,9531,"785,192",0.03,NA
Kyowa Kirin Co,4151,"466,182",0.03,NA
Aroundtown SA,AT1,"2,252,912",0.03,NA
Henkel AG & Co,HEN,"193,395",0.03,NA
Yamaha Corp,7951,"294,252",0.03,NA
Divi's Laborato,DIVISLAB,"238,731",0.03,NA
Riyad Bank,1010,"2,292,317",0.03,NA
Aegon NV,AGN,"3,317,174",0.03,0.00
Wm Morrison Sup,MRW,"4,157,361",0.03,NA
George Weston L,WN,"138,744",0.03,NA
Chr Hansen Hold,CHR,"193,289",0.03,NA
Quanta Computer,2382,"5,074,598",0.03,NA
Sumitomo Metal ,5713,"443,346",0.03,NA
Itausa SA,ITSA4,"8,401,892",0.03,NA
Nippon Prologis,3283,"4,164",0.03,NA
State Bank of I,SBID,"277,047",0.03,NA
China Shenhua E,1088,"6,957,860",0.03,NA
Arkema SA,AKE,"123,223",0.03,NA
Kinnevik AB,KINV,"454,510",0.03,NA
Clicks Group Lt,CLS Quick QuoteCLS,"466,702",0.02,21.66
Auckland Intern,AIA Quick QuoteAIA,"2,212,264",0.02,0.00
Auto Trader Gro,AUTO Quick QuoteAUTO,"1,428,388",0.02,-11.48
Centrica plc,CNA Quick QuoteCNA,"11,020,797",0.02,8.33
Allegro.eu SA,ALE Quick QuoteALE,"725,845",0.02,-7.65
Alrosa PJSC,ALRS Quick QuoteALRS,"4,619,080",0.02,0.79
Atlas Arteria L,ALX Quick QuoteALX,"1,809,704",0.02,-6.36
Amplifon SPA,AMP Quick QuoteAMP,"241,102",0.02,40.45
Anglo American ,AMS Quick QuoteAMS,"111,069",0.02,-14.62
ams AG,AMS Quick QuoteAMS,"461,552",0.02,-14.62
KE Holdings Inc,BEKE Quick QuoteBEKE,"434,681",0.02,-70.14
Ambev SA,ABEV Quick QuoteABEV,"3,678,000",0.02,-12.17
Accor SA,AC Quick QuoteAC,"336,657",0.02,21.81
Ayala Corp,AC Quick QuoteAC,"607,967",0.02,21.81
Aspen Pharmacar,APN Quick QuoteAPN,"718,479",0.02,990.00
Contact Energy ,CEN Quick QuoteCEN,"1,448,367",0.02,0.00
British Land Co,BLND Quick QuoteBLND,"1,738,954",0.02,704.00
Atos SE,ATO Quick QuoteATO,"178,261",0.02,16.10
Ahli United Ban,AUB Quick QuoteAUB,"12,001,127",0.02,7.48
DiaSorin SPA,DIA Quick QuoteDIA,"42,328",0.02,0.00
Enagas SA,ENG Quick QuoteENG,"458,401",0.02,-88.61
Epiroc AB,EPI Quick QuoteEPI,"647,454",0.02,0.00
Derwent London ,DLN Quick QuoteDLN,"191,045",0.02,0.00
Evonik Industri,EVK Quick QuoteEVK,"358,608",0.02,-49.16
Evolution Minin,EVN Quick QuoteEVN,"3,202,619",0.02,0.00
Evraz plc,EVR Quick QuoteEVR,"1,083,099",0.02,0.00
Evotec SE,EVT Quick QuoteEVT,"275,354",0.02,0.00
ConvaTec Group ,CTEC Quick QuoteCTEC,"2,998,034",0.02,0.00
Cemex SAB de CV,CX Quick QuoteCX,"1,370,760",0.02,-12.29
Endeavour Group,EDV Quick QuoteEDV,"2,365,023",0.02,0.00
Valeo,FR Quick QuoteFR,"447,997",0.02,42.46
ICL Group Ltd,ICL Quick QuoteICL,"1,300,824",0.02,85.56
GDS Holdings Lt,GDS Quick QuoteGDS,"214,071",0.02,-60.79
Imperial Oil Lt,IMO Quick QuoteIMO,"398,212",0.02,89.49
Industrivarden ,INDU Quick QuoteINDU,"367,358",0.02,9.87
Industrivarden ,INDU Quick QuoteINDU,"333,257",0.02,9.87
Interpump Group,IP Quick QuoteIP,"147,788",0.02,-7.26
Grifols SA,GRF Quick QuoteGRF,"448,919",0.02,0.00
Petroleo Brasil,PBR Quick QuotePBR,"1,060,141",0.02,16.99
Masraf Al Rayan,MARK Quick QuoteMARK,"6,890,194",0.02,-67.76
Land Securities,LAND Quick QuoteLAND,"1,340,206",0.02,84.79
Mineral Resourc,MIN Quick QuoteMIN,"256,762",0.02,0.00
Nemetschek SE,NEM Quick QuoteNEM,"110,359",0.02,-0.68
Oil Search Ltd,OSH Quick QuoteOSH,"3,884,652",0.02,-69.41
SOITEC,SOI Quick QuoteSOI,"38,519",0.02,-27.43
Spark New Zeala,SPK Quick QuoteSPK,"3,494,908",0.02,994.00
Polymetal Inter,POLY Quick QuotePOLY,"674,139",0.02,-17.08
Saputo Inc,SAP Quick QuoteSAP,"447,027",0.02,6.40
Recordati Indus,REC Quick QuoteREC,"181,972",0.02,NA
Remgro Ltd,REM Quick QuoteREM,"965,191",0.02,0.00
Schindler Holdi,SCHN Quick QuoteSCHN,"33,458",0.02,18.02
Poste Italiane ,PST Quick QuotePST,"863,102",0.02,0.00
SimCorp A/S,SIM Quick QuoteSIM,"77,486",0.02,109.64
SK Telecom Co. ,SKM Quick QuoteSKM,"282,387",0.02,-36.55
Rexel SA,RXL Quick QuoteRXL,"567,705",0.02,0.00
THG plc,THG Quick QuoteTHG,"1,914,001",0.02,9.36
TeamViewer AG,TMV Quick QuoteTMV,"301,136",0.02,0.00
Vipshop Holding,VIPS Quick QuoteVIPS,"826,296",0.02,-70.30
Vodacom Group L,VOD Quick QuoteVOD,"1,090,132",0.02,-9.59
voestalpine AG,VOE Quick QuoteVOE,"217,192",0.02,0.00
Zai Lab Ltd,ZLAB Quick QuoteZLAB,"108,925",0.02,-73.62
Siemens Gamesa ,SGRE,"422,377",0.02,NA
Sands China Ltd,1928,"4,496,304",0.02,NA
Treasury Wine E,TWE,"1,359,240",0.02,NA
ESR Cayman Ltd,1821,"3,476,314",0.02,NA
IHH Healthcare ,IHH,"5,569,100",0.02,NA
Jeronimo Martin,JMT,"455,072",0.02,0.00
Scout24 AG,G24,"118,715",0.02,NA
Britannia Indus,BRITANNIA,"221,467",0.02,NA
Petronas Chemic,PCHEM,"5,323,168",0.02,NA
ACS Actividades,ACS,"435,272",0.02,NA
Seiko Epson Cor,6724,"508,858",0.02,NA
Wartsila OYJ Ab,WRT1V,"910,330",0.02,NA
Capitaland Inve,9CI,"4,878,528",0.02,NA
Fastighets AB B,BALD,"189,384",0.02,NA
China Developme,2883,"26,067,318",0.02,NA
Aurizon Holding,AZJ,"3,399,378",0.02,NA
Warehouses De P,WDP,"259,499",0.02,NA
Eicher Motors L,EICHERMOT,"249,349",0.02,NA
NGK Insulators ,5333,"479,041",0.02,NA
J Sainsbury plc,SBRY,"3,205,778",0.02,NA
Mobile Telecomm,ZAIN,"4,015,407",0.02,NA
Fluidra SA,FDR,"209,095",0.02,NA
Pennon Group pl,PNN,"534,765",0.02,NA
Globalwafers Co,6488,"402,000",0.02,NA
Lite-On Technol,2301,"4,086,767",0.02,NA
COSCO SHIPPING ,1919,"6,298,991",0.02,NA
Hoshizaki Corp,6465,"97,576",0.02,NA
Bangkok Dusit M,BDMS-F,"17,238,600",0.02,NA
Demant A/S,DEMANT,"196,108",0.02,NA
Avast plc,AVST,"1,069,152",0.02,NA
Eclat Textile C,1476,"370,398",0.02,NA
BE Semiconducto,BESI,"130,582",0.02,NA
Investment AB L,LATO,"266,841",0.02,NA
Yokogawa Electr,6841,"458,593",0.02,NA
Vedanta Ltd,VEDL,"2,299,586",0.02,71.88
CTS Eventim AG ,EVD,"107,581",0.02,NA
JBS SA,JBSS3,"1,728,405",0.02,NA
Doosan Heavy In,34020,"549,343",0.02,NA
Advanced Info S,ADVANC-F,"2,122,696",0.02,NA
Otsuka Corp,4768,"193,641",0.02,NA
BDO Unibank Inc,BDO,"3,695,841",0.02,NA
Open House Co. ,3288,"137,383",0.02,NA
Coal India Ltd,COALINDIA,"3,500,113",0.02,NA
Bechtle AG,BC8,"154,422",0.02,NA
Adevinta ASA,ADE,"468,996",0.02,NA
GLP J-Reit,3281,"7,850",0.02,NA
Singapore Airli,C6L,"2,368,356",0.02,NA
Bidvest Group L,BVT,"637,504",0.02,NA
Singapore Excha,S68,"1,557,266",0.02,NA
Sekisui Chemica,4204,"630,781",0.02,NA
PTT Exploration,PTTEP-F,"2,388,361",0.02,NA
Nippon Express ,9062,"130,281",0.02,NA
Toho Co. Ltd./T,9602,"207,007",0.02,NA
Kasikornbank PC,KBANK-F,"2,145,718",0.02,NA
Accton Technolo,2345,"1,000,000",0.02,NA
Endesa SA,ELE,"590,167",0.02,NA
Lundin Energy A,LUNE,"350,126",0.02,NA
Woori Financial,316140,"954,582",0.02,NA
Lendlease Corp,LLC,"1,299,530",0.02,NA
Keppel Corp. Lt,BN4,"2,681,732",0.02,NA
Swedish Orphan ,SOBI,"332,921",0.02,NA
Aalberts NV,AALB,"179,082",0.02,NA
China Vanke Co,2202,"3,887,339",0.02,NA
Banque Saudi Fr,1050,"1,091,613",0.02,NA
Saudi Electrici,5110,"1,456,954",0.02,NA
Valmet Oyj,VALMT,"241,293",0.02,NA
Nisshin Seifun ,2002,"485,604",0.02,NA
SinoPac Financi,2890,"19,463,229",0.02,NA
Direct Line Ins,DLG,"2,546,575",0.02,NA
Centrais Eletri,ELET3,"1,125,588",0.02,NA
Hotai Motor Co,2207,"623,000",0.02,NA
WH Group Ltd,288,"12,159,002",0.02,NA
